epoch: 99 train cost:  49.31s, train_loss:  0.0109, train_acc:  0.9976, valid_loss:  1.8584, valid_acc:  0.7000
epoch: 100 train cost:  49.27s, train_loss:  0.0126, train_acc:  0.9952, valid_loss:  1.9641, valid_acc:  0.6857
epoch: 101 train cost:  51.33s, train_loss:  0.0042, train_acc:  0.9984, valid_loss:  1.9526, valid_acc:  0.6929
epoch: 102 train cost:  49.08s, train_loss:  0.0105, train_acc:  0.9968, valid_loss:  2.0550, valid_acc:  0.6286
epoch: 103 train cost:  49.13s, train_loss:  0.0041, train_acc:  0.9992, valid_loss:  2.1451, valid_acc:  0.6429
epoch: 104 train cost:  49.24s, train_loss:  0.0012, train_acc:  1.0000, valid_loss:  2.0919, valid_acc:  0.6714
epoch: 105 train cost:  49.34s, train_loss:  0.0017, train_acc:  0.9992, valid_loss:  2.0653, valid_acc:  0.6500
epoch: 106 train cost:  49.31s, train_loss:  0.0009, train_acc:  1.0000, valid_loss:  1.9971, valid_acc:  0.6857
epoch: 107 train cost:  49.59s, train_loss:  0.0162, train_acc:  0.9944, valid_loss:  1.9924, valid_acc:  0.6786
epoch: 108 train cost:  49.34s, train_loss:  0.0259, train_acc:  0.9873, valid_loss:  2.0457, valid_acc:  0.6714
epoch: 109 train cost:  49.27s, train_loss:  0.0059, train_acc:  0.9976, valid_loss:  1.9288, valid_acc:  0.6714
epoch: 110 train cost:  49.33s, train_loss:  0.0010, train_acc:  1.0000, valid_loss:  2.0014, valid_acc:  0.6500
epoch: 111 train cost:  49.39s, train_loss:  0.0023, train_acc:  0.9984, valid_loss:  2.1415, valid_acc:  0.6643
epoch: 112 train cost:  49.39s, train_loss:  0.0007, train_acc:  1.0000, valid_loss:  2.0156, valid_acc:  0.6571
epoch: 113 train cost:  49.32s, train_loss:  0.0022, train_acc:  0.9992, valid_loss:  2.1985, valid_acc:  0.6857
epoch: 114 train cost:  49.38s, train_loss:  0.0180, train_acc:  0.9944, valid_loss:  1.5725, valid_acc:  0.7000
epoch: 115 train cost:  49.37s, train_loss:  0.0098, train_acc:  0.9984, valid_loss:  1.8177, valid_acc:  0.6929
epoch: 116 train cost:  49.30s, train_loss:  0.0006, train_acc:  1.0000, valid_loss:  1.8378, valid_acc:  0.7000
epoch: 117 train cost:  49.33s, train_loss:  0.0006, train_acc:  1.0000, valid_loss:  1.9097, valid_acc:  0.7000
epoch: 118 train cost:  49.34s, train_loss:  0.0005, train_acc:  1.0000, valid_loss:  1.9331, valid_acc:  0.6929
epoch: 119 train cost:  49.10s, train_loss:  0.0004, train_acc:  1.0000, valid_loss:  1.9448, valid_acc:  0.7000
epoch: 120 train cost:  48.92s, train_loss:  0.0004, train_acc:  1.0000, valid_loss:  1.9591, valid_acc:  0.6857
epoch: 121 train cost:  47.61s, train_loss:  0.0004, train_acc:  1.0000, valid_loss:  1.9903, valid_acc:  0.6857
epoch: 122 train cost:  46.82s, train_loss:  0.0110, train_acc:  0.9960, valid_loss:  2.0164, valid_acc:  0.6643
